,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,7,10,8,4,8,8,17,2,8,10,5,19,13,1
1,19,17,7,4,20,10,1,18,19,20,4,5,15,4,12
2,4,12,7,15,6,6,11,3,9,13,6,9,7,4,18
3,3,5,10,20,5,12,19,2,5,10,8,7,18,5,8
4,7,4,9,17,14,4,11,14,20,17,14,8,9,18,8
5,13,8,17,9,12,11,2,12,5,10,11,2,6,12,19
6,11,15,17,6,4,7,2,1,14,1,18,14,13,14,7
7,16,12,16,14,7,14,11,6,16,17,8,19,1,20,2
8,6,10,18,2,17,14,15,17,2,16,4,5,16,19,11
9,20,2,9,7,7,7,6,11,12,8,13,2,1,15,17
10,2,13,13,20,10,10,16,3,8,20,10,1,18,19,19
11,9,10,10,11,11,20,18,1,7,7,14,5,12,17,7
12,1,2,5,2,18,11,8,4,17,9,10,4,7,8,18
13,14,3,16,8,19,2,16,8,5,17,20,2,8,15,12
14,9,18,1,9,1,3,8,13,8,10,1,17,13,20,17
